k,h
7.0,0.0565
5.0,0.0565
7.0,0.112
5.0,0.112
13.0,0.0565
15.0,0.112
3.0,0.0565
9.0,0.0565
5.0,0.0565
5.0,0.112
5.0,0.112
5.0,0.0565
9.0,0.112
9.0,0.112
7.0,0.0565
5.0,0.0565
7.0,0.0565
7.0,0.0565
5.0,0.0565
11.0,0.112
13.0,0.0565
15.0,0.112
9.0,0.0565
1.0,0.0565
11.0,0.112
5.0,0.112
7.0,0.0565
13.0,0.112
5.0,0.0565
7.0,0.0565
27.0,0.112
5.0,0.112
5.0,0.112
11.0,0.0565
5.0,0.112
13.0,0.0565
5.0,0.112
7.0,0.112
13.0,0.0565
5.0,0.112
5.0,0.112
3.0,0.112
9.0,0.112
7.0,0.0565
1.0,0.0565
7.0,0.0565
3.0,0.112
3.0,0.112
3.0,0.0565
7.0,0.112
